day,events
1996-08-13,10425
1996-08-14,13637
1996-08-15,11256
1996-08-16,10490
1996-08-17,7672
1996-08-18,6434
1996-08-19,7408
1996-08-20,8461
1996-08-21,7112
1996-08-22,7142
1996-08-23,7154
1996-08-24,6833
1996-08-25,5742
1996-08-26,6164
1996-08-27,6857
1996-08-28,7037
1996-08-29,6647
1996-08-30,5327
1996-08-31,5189
1996-09-01,5759
1996-09-02,6047
1996-09-03,5740
1996-09-04,5185
1996-09-05,5293
1996-09-06,7376
1996-09-07,6178
1996-09-08,4313
1996-09-09,4197
1996-09-10,5264
1996-09-11,6844
1996-09-12,3791
1996-09-13,5198
1996-09-14,3842
1996-09-15,3010
1996-09-16,5821
1996-09-17,5437
1996-09-18,4355
1996-09-19,3175
1996-09-20,5602
1996-09-21,4249
1996-09-22,2998
1996-09-23,4719
1996-09-24,3510
1996-09-25,3594
1996-09-26,4748
1996-09-27,6041
1996-09-28,4285
1996-09-29,4919
1996-09-30,5362
1996-10-01,6178
1996-10-02,4740
1996-10-03,4300
1996-10-04,5637
1996-10-05,3489
1996-10-06,8996
1996-10-07,8255
1996-10-08,2431
1996-10-09,2692
1996-10-10,2425
1996-10-11,6225
1996-10-12,8063
1996-10-13,8199
1996-10-14,11472
1996-10-15,8760
1996-10-16,8179
1996-10-17,5493
1996-10-18,7926
1996-10-19,5249
1996-10-20,4049
1996-10-21,6362
1996-10-22,6225
1996-10-23,5339
1996-10-24,6523
1996-10-25,6329
1996-10-26,5327
1996-10-27,6051
1996-10-28,6186
1996-10-29,6767
1996-10-30,4641
1996-10-31,3358
1996-11-01,5860
1996-11-02,4210
1996-11-03,4368
1996-11-04,5961
1996-11-05,6655
1996-11-06,9522
1996-11-07,9625
1996-11-08,7969
1996-11-09,5440
1996-11-10,5565
1996-11-11,4755
1996-11-12,6182
1996-11-13,5042
1996-11-14,5352
1996-11-15,4378
1996-11-16,5945
1996-11-17,1655
1996-11-18,4682
1996-11-19,4978
1996-11-20,8644
1996-11-21,5259
1996-11-22,5815
1996-11-23,6893
1996-11-24,5587
1996-11-25,5362
1996-11-26,15505
1996-11-27,6973
1996-11-28,4130
1996-11-29,5119
1996-11-30,2583
1996-12-01,1647
1996-12-02,2785
1996-12-03,3738
1996-12-04,3703
1996-12-05,4175
1996-12-06,3784
1996-12-07,3991
1996-12-08,3952
1996-12-09,6638
1996-12-10,5886
1996-12-11,5473
1996-12-12,6132
1996-12-13,7493
1996-12-14,5277
1996-12-15,3450
1996-12-16,5408
1996-12-17,5020
1996-12-18,4911
1996-12-19,6746
1996-12-20,5524
1996-12-21,2938
1996-12-22,5204
1996-12-23,5095
1996-12-24,2171
1996-12-25,2422
1996-12-26,5157
1996-12-27,3856
1996-12-28,2157
1996-12-29,3609
1996-12-30,3621
1996-12-31,3889
1997-01-01,3595
1997-01-02,4486
1997-01-03,4590
1997-01-04,3469
1997-01-05,2505
1997-01-06,4241
1997-01-07,2760
1997-01-08,4872
1997-01-09,2157
1997-01-10,1580
1997-01-11,1106
1997-01-13,1204
1997-01-14,1389
1997-01-15,2997
1997-01-16,4754
1997-01-17,3675
1997-01-18,4293
1997-01-19,3513
1997-01-20,4540
1997-01-21,4018
1997-01-22,3984
1997-01-23,5000
1997-01-24,5819
1997-01-25,3525
1997-01-26,3836
1997-01-27,4467
1997-01-28,4980
1997-01-29,4233
1997-01-30,3138
1997-01-31,3713
1997-02-01,2068
1997-02-02,2435
1997-02-03,3090
1997-02-04,2320
1997-02-05,2459
1997-02-06,2278
1997-02-07,2113
1997-02-08,2481
1997-02-09,3180
1997-02-10,3018
1997-02-11,2610
1997-02-12,2112
1997-02-13,1489
1997-02-14,2375
1997-02-15,1447
1997-02-16,1321
1997-02-17,1686
1997-02-18,2527
1997-02-19,2455
1997-02-20,2213
1997-02-21,2946
1997-02-22,2786
1997-02-23,2257
1997-02-24,2932
1997-02-25,3044
1997-02-26,1893
1997-02-27,2653
1997-02-28,2321
1997-03-01,2708
1997-03-02,2080
1997-03-03,1933
1997-03-04,3119
1997-03-05,2465
1997-03-06,3794
1997-03-07,3094
1997-03-08,3753
1997-03-09,3452
1997-03-10,3991
1997-03-11,4541
1997-03-12,2481
1997-03-13,2800
1997-03-14,2969
1997-03-15,3219
1997-03-16,4244
1997-03-17,3483
1997-03-18,2835
1997-03-19,2615
1997-03-20,2407
1997-03-21,4160
1997-03-22,3779
1997-03-23,2987
1997-03-24,3171
1997-03-25,2792
1997-03-26,3058
1997-03-27,3474
1997-03-28,4151
1997-03-29,3463
1997-03-30,3059
1997-03-31,3488
1997-04-01,3102
1997-04-02,3086
1997-04-03,3053
1997-04-04,4998
1997-04-05,5103
1997-04-06,4176
1997-04-07,3755
1997-04-08,3129
1997-04-09,3249
1997-04-10,3792
1997-04-11,2002
1997-04-12,3878
1997-04-13,2011
1997-04-14,1644
1997-04-15,2863
1997-04-16,1796
1997-04-17,1975
1997-04-18,3086
1997-04-19,2046
1997-04-20,1864
1997-04-21,2623
1997-04-22,2179
1997-04-23,2757
1997-04-24,2505
1997-04-25,2540
1997-04-26,1799
1997-04-27,2463
1997-04-28,1674
1997-04-29,1949
1997-04-30,2533
1997-05-01,6419
1997-05-02,6446
1997-05-03,3986
1997-05-04,3538
1997-05-05,4141
1997-05-06,2937
1997-05-07,2424
1997-05-08,2530
1997-05-09,1880
1997-05-10,2147
1997-05-11,5828
1997-05-13,1955
1997-05-14,2180
1997-05-15,2110
1997-05-16,2831
1997-05-17,1837
1997-05-18,2724
1997-05-19,3677
1997-05-20,3274
1997-05-21,3579
1997-05-22,2493
1997-05-23,2526
1997-05-24,2004
1997-05-25,2963
1997-05-26,3189
1997-05-27,2779
1997-05-28,2496
1997-05-29,3458
1997-05-30,3357
1997-05-31,2987
1997-06-01,175
1997-06-02,2838
1997-06-03,2814
1997-06-04,4030
1997-06-05,2687
1997-06-06,2702
1997-06-07,1855
1997-06-08,1979
1997-06-09,2462
1997-06-10,2882
1997-06-11,3232
1997-06-12,1908
1997-06-13,3074
1997-06-14,2062
1997-06-15,3137
1997-06-16,2437
1997-06-17,2646
1997-06-18,4256
1997-06-19,2132
1997-06-20,3428
1997-06-21,2289
1997-06-22,2337
1997-06-23,3116
1997-06-24,3063
1997-06-25,3502
1997-06-26,3357
1997-06-27,2958
1997-06-28,1871
1997-06-29,2195
1997-06-30,2879
1997-07-01,2618
1997-07-02,3049
1997-07-03,3167
1997-07-04,1541
1997-07-05,2829
1997-07-06,2682
1997-07-07,2913
1997-07-08,2740
1997-07-09,2647
1997-07-10,1121
1997-07-11,1880
1997-07-12,1699
1997-07-13,2031
1997-07-14,3080
1997-07-15,2173
1997-07-16,2062
1997-07-17,2083
1997-07-18,2291
1997-07-19,2824
1997-07-20,2613
1997-07-21,2459
1997-07-22,3691
1997-07-23,1188
1997-09-09,36
1997-09-11,22
1997-09-15,1195
1997-09-16,2063
1997-09-17,1521
1997-09-18,1525
1997-09-19,399
1997-09-20,1256
1997-09-21,901
1997-09-22,1848
1997-09-23,1525
1997-09-24,873
1997-09-25,831
1997-09-26,1809
1997-09-27,666
1997-09-28,609
1997-09-29,498
1997-09-30,590
1997-10-01,1167
1997-10-02,885
1997-10-03,486
1997-10-04,1375
1997-10-05,1082
1997-10-06,491
1997-10-07,506
1997-10-08,330
1997-10-09,430
1997-10-10,1217
1997-10-11,559
1997-10-12,557
1997-10-13,203
1997-10-14,637
1997-10-15,571
1997-10-16,703
1997-10-17,1517
1997-10-18,413
1997-10-19,922
1997-10-20,805
1997-10-21,285
1997-10-22,744
1997-10-23,452
1997-10-24,521
1997-10-25,778
1997-10-26,1053
1997-10-27,267
1997-10-28,376
1997-10-29,730
1997-10-30,194
1997-10-31,539
1997-11-01,196
1997-11-02,9
1997-11-03,555
1997-11-04,395
1997-11-05,928
1997-11-06,949
1997-11-07,1305
1997-11-08,732
1997-11-09,749
1997-11-10,1579
1997-11-11,951
1997-11-12,1464
1997-11-13,5266
1997-11-14,2824
1997-11-15,1505
1997-11-16,1478
1997-11-17,1841
1997-11-18,1880
1997-11-19,2221
1997-11-20,1460
1997-11-21,2443
1997-11-22,703
1997-11-23,477
1997-11-24,951
1997-11-25,811
1997-11-26,1186
1997-11-27,848
1997-11-28,395
1997-11-29,920
1997-11-30,899
1997-12-01,531
1997-12-02,1108
1997-12-03,1394
1997-12-04,331
1997-12-05,996
1997-12-06,465
1997-12-07,466
1997-12-08,107
1997-12-09,1154
1997-12-10,34
1997-12-12,728
1997-12-13,454
1997-12-14,902
1997-12-15,320
1997-12-16,30
1997-12-17,2013
1997-12-18,783
1997-12-19,490
1997-12-20,1163
1997-12-21,209
1997-12-22,767
1997-12-23,611
1997-12-24,300
1997-12-25,157
1997-12-26,764
1997-12-27,614
1997-12-28,539
1997-12-29,1232
1997-12-30,757
1997-12-31,565
1998-01-01,1327
1998-01-02,1184
1998-01-03,752
1998-01-04,647
1998-01-05,950
1998-01-06,1920
1998-01-07,910
1998-01-08,889
1998-01-09,749
1998-01-10,756
1998-01-11,505
1998-01-12,1199
1998-01-13,365
1998-01-14,511
1998-01-15,626
1998-01-16,923
1998-01-17,657
1998-01-18,530
1998-01-19,217
1998-01-20,329
1998-01-21,362
1998-01-22,201
1998-01-23,1252
1998-01-24,731
1998-01-25,564
1998-01-26,1145
1998-01-27,437
1998-01-28,1046
1998-01-29,580
1998-01-30,750
1998-01-31,481
1998-02-01,1314
1998-02-02,462
1998-02-03,465
1998-02-04,391
1998-02-05,144
1998-02-06,114
1998-02-07,389
1998-02-08,778
1998-02-09,512
1998-02-10,422
1998-02-11,276
1998-02-12,584
1998-02-13,506
1998-02-14,411
1998-02-15,76
1998-02-16,448
1998-02-17,1623
1998-02-18,685
1998-02-19,651
1998-02-20,143
1998-02-21,1060
1998-02-22,865
1998-02-23,478
1998-02-24,237
1998-02-25,816
1998-02-26,2115
1998-02-27,985
1998-02-28,196
1998-03-01,735
1998-03-02,439
1998-03-03,571
1998-03-04,369
1998-03-05,441
1998-03-06,852
1998-03-07,332
1998-03-08,398
1998-03-09,537
1998-03-10,440
1998-03-11,292
1998-03-12,416
1998-03-13,124
1998-03-14,462
1998-03-15,417
1998-03-16,127
1998-03-17,637
1998-03-18,208
1998-03-19,317
1998-03-20,218
1998-03-21,190
1998-03-22,130
1998-03-23,442
1998-03-24,136
1998-03-25,163
1998-03-26,404
1998-03-27,2595
1998-03-29,1757
1998-03-30,2733
1998-03-31,2857
1998-04-01,2671
1998-04-02,2067
1998-04-03,1119
1998-04-04,1630
1998-04-05,185
1998-04-06,1008
1998-04-07,748
1998-04-08,765
1998-04-09,268
1998-04-10,622
1998-04-11,578
1998-04-12,350
1998-04-13,241
1998-04-14,181
1998-04-15,650
1998-04-16,425
1998-04-17,703
1998-04-18,287
1998-04-19,143
1998-04-20,254
1998-04-21,660
1998-04-22,368
1998-04-23,361
1998-04-24,643
1998-04-25,45
1998-04-26,485
1998-04-27,383
1998-04-28,183
1998-04-29,223
1998-04-30,238
1998-05-01,69
1998-05-02,637
1998-05-03,89
1998-05-04,416
1998-05-05,58
1998-05-06,1205
1998-05-07,630
1998-05-08,53
1998-05-09,327
1998-05-10,394
1998-05-11,274
1998-05-12,352
1998-05-13,166
1998-05-14,148
1998-05-15,418
1998-05-16,151
1998-05-17,119
1998-05-18,258
1998-05-19,140
1998-05-20,221
1998-05-22,1521
1998-05-23,69
1998-05-24,266
1998-05-25,336
1998-05-26,174
1998-05-27,626
1998-05-28,9
1998-05-29,375
1998-05-30,104
1998-05-31,410
1998-06-01,273
1998-06-02,496
1998-06-03,172
1998-06-04,485
1998-06-05,543
1998-06-06,296
1998-06-07,329
1998-06-08,217
1998-06-09,246
1998-06-10,199
1998-06-11,285
1998-06-12,471
1998-06-13,376
1998-06-14,337
1998-06-15,330
1998-06-16,1072
1998-06-17,1135
1998-06-18,968
1998-06-19,472
1998-06-20,187
1998-06-21,394
1998-06-22,978
1998-06-23,453
1998-06-24,35
1998-06-25,740
1998-06-26,294
1998-06-27,317
1998-06-28,608
1998-06-29,1230
1998-06-30,554
1998-07-01,470
1998-07-02,1031
1998-07-03,526
1998-07-04,192
1998-07-05,488
1998-07-06,283
1998-07-07,604
1998-07-08,922
1998-07-09,635
1998-07-10,376
1998-07-11,248
1998-07-12,392
1998-07-13,218
1998-07-14,730
1998-07-15,2036
1998-07-16,749
1998-07-17,4682
1998-07-18,6135
1998-07-19,5214
1998-07-20,8110
1998-07-21,1878
1998-07-22,3070
1998-07-23,10547
1998-07-24,3447
1998-07-25,2896
1998-07-26,3154
1998-07-27,5142
1998-07-28,4760
1998-07-29,6073
1998-07-30,3341
1998-07-31,1332
1998-08-01,2181
1998-08-02,3283
1998-08-03,3142
1998-08-04,2364
1998-08-05,859
1998-08-06,1650
1998-08-07,752
1998-08-08,892
1998-08-09,1497
1998-08-10,511
1998-08-11,939
1998-08-12,1340
1998-08-13,1765
1998-08-14,1539
1998-08-15,2141
1998-08-16,1385
1998-08-17,1415
1998-08-18,944
1998-08-19,912
1998-08-20,612
1998-08-21,961
1998-08-22,917
1998-08-23,1114
1998-08-24,574
1998-08-25,861
1998-08-26,522
1998-08-27,366
1998-08-28,688
1998-08-29,494
1998-08-30,683
1998-08-31,1036
1998-09-01,533
1998-09-02,337
1998-09-03,551
1998-09-04,334
1998-09-05,925
1998-09-06,868
1998-09-07,624
1998-09-08,866
1998-09-09,286
1998-09-10,1166
1998-09-11,846
1998-09-12,418
1998-09-13,536
1998-09-14,831
1998-09-15,303
1998-09-16,436
1998-09-17,781
1998-09-18,901
1998-09-19,723
1998-09-20,551
1998-09-21,308
1998-09-22,312
1998-09-23,730
1998-09-24,151
1998-09-25,827
1998-09-26,1224
1998-09-27,538
1998-09-28,466
1998-09-29,1148
1998-09-30,317
1998-10-01,261
1998-10-02,307
1998-10-03,747
1998-10-04,420
1998-10-05,602
1998-10-06,178
1998-10-07,466
1998-10-08,289
1998-10-09,781
1998-10-10,297
1998-10-11,596
1998-10-12,603
1998-10-13,445
1998-10-14,520
1998-10-15,307
1998-10-16,393
1998-10-17,639
1998-10-20,224
1998-10-21,612
1998-10-22,493
1998-10-23,1056
1998-10-24,1260
1998-10-25,679
1998-10-26,399
1998-10-27,523
1998-10-28,167
1998-10-29,245
1998-10-30,98
1998-10-31,297
1998-11-01,195
1998-11-02,364
1998-11-03,168
1998-11-04,452
1998-11-05,724
1998-11-06,363
1998-11-07,537
1998-11-08,234
1998-11-09,460
1998-11-10,339
1998-11-11,53
1998-11-12,1054
1998-11-13,947
1998-11-14,547
1998-11-15,516
1998-11-16,524
1998-11-17,1045
1998-11-18,841
1998-11-19,154
1998-11-20,228
1998-11-21,73
1998-11-22,281
1998-11-23,802
1998-11-24,545
1998-11-25,374
1998-11-26,581
1998-11-27,83
1998-11-28,1087
1998-11-29,861
1998-11-30,964
1998-12-01,453
1998-12-02,491
1998-12-03,467
1998-12-04,116
1998-12-05,30
1998-12-07,2158
1998-12-08,2493
1998-12-09,1309
1998-12-10,3087
1998-12-11,2460
1998-12-12,1181
1998-12-14,947
1998-12-15,1317
1998-12-16,1784
1998-12-17,1357
1998-12-18,1305
1998-12-19,1134
1998-12-20,1080
1998-12-21,711
1998-12-22,930
1998-12-23,1122
1998-12-24,943
1998-12-25,868
1998-12-26,354
1998-12-27,490
1998-12-28,102
1998-12-29,910
1998-12-30,1668
1998-12-31,896
1999-01-01,1261
1999-01-02,771
1999-01-03,1836
1999-01-04,1018
1999-01-05,1492
1999-01-06,440
1999-01-07,679
1999-01-08,777
1999-01-09,982
1999-01-10,931
1999-01-11,644
1999-01-12,631
1999-01-13,340
1999-01-14,981
1999-01-15,1019
1999-01-16,1136
1999-01-17,702
1999-01-18,1129
1999-01-19,1519
1999-01-20,641
1999-01-21,334
1999-01-22,760
1999-01-23,1070
1999-01-24,1015
1999-01-25,243
1999-01-26,836
1999-01-27,1227
1999-01-28,302
1999-01-29,356
1999-01-30,412
1999-01-31,321
1999-02-01,876
1999-02-02,616
1999-02-03,287
1999-02-04,618
1999-02-05,778
1999-02-06,378
1999-02-07,923
1999-02-08,550
1999-02-09,380
1999-02-10,1318
1999-02-11,101
1999-02-12,844
1999-02-13,488
1999-02-14,527
1999-02-15,1186
1999-02-16,407
1999-02-17,358
1999-02-18,536
1999-02-19,340
1999-02-20,598
1999-02-21,221
1999-02-22,471
1999-02-23,438
1999-02-24,1687
1999-02-25,359
1999-02-26,626
1999-02-27,115
1999-02-28,892
1999-03-01,546
1999-03-02,603
1999-03-03,553
1999-03-04,123
1999-03-05,316
1999-03-06,3
1999-03-07,218
1999-03-08,320
1999-03-09,806
1999-03-10,85
1999-03-11,14
1999-03-16,317
1999-03-17,359
1999-03-18,59
1999-03-19,301
1999-03-20,512
1999-03-21,26
1999-03-22,391
1999-03-23,374
1999-03-24,597
1999-03-25,187
1999-03-26,552
1999-03-27,181
1999-03-28,457
1999-03-29,120
1999-03-30,265
1999-03-31,244
1999-04-01,211
1999-04-02,143
1999-04-03,1071
1999-04-04,97
1999-04-05,392
1999-04-06,415
1999-04-07,151
1999-04-08,399
1999-04-09,209
1999-04-10,648
1999-04-11,376
1999-04-12,333
1999-04-13,583
1999-04-14,363
1999-04-15,528
1999-04-16,351
1999-04-17,571
1999-04-18,196
1999-04-19,636
1999-04-20,687
1999-04-21,188
1999-04-22,302
1999-04-23,1114
1999-04-24,291
1999-04-25,466
1999-04-26,1283
1999-04-27,262
1999-04-28,716
1999-04-29,366
1999-04-30,654
1999-05-01,83
1999-05-02,519
1999-05-03,528
1999-05-04,1061
1999-05-05,480
1999-05-06,455
1999-05-07,212
1999-05-08,481
1999-05-09,8
1999-05-10,345
1999-05-11,126
1999-05-12,89
1999-05-13,289
1999-05-14,342
1999-05-15,661
1999-05-16,254
1999-05-17,297
1999-05-18,265
1999-05-19,238
1999-05-20,409
1999-05-21,590
1999-05-22,370
1999-05-23,189
1999-05-24,1121
1999-05-25,1521
1999-05-26,143
1999-05-27,466
1999-05-28,209
1999-05-29,334
1999-05-30,699
1999-05-31,435
1999-06-01,872
1999-06-02,334
1999-06-03,388
1999-06-04,163
1999-06-05,141
1999-06-06,183
1999-06-07,162
1999-06-08,234
1999-06-09,755
1999-06-10,663
1999-06-11,753
1999-06-12,141
1999-06-13,403
1999-06-14,116
1999-06-15,552
1999-06-16,518
1999-06-17,751
1999-06-18,262
1999-06-19,236
1999-06-20,79
1999-06-21,220
1999-06-22,139
1999-06-23,241
1999-06-24,153
1999-06-25,271
1999-06-26,620
1999-06-27,101
1999-06-28,723
1999-06-29,822
1999-06-30,245
1999-07-01,461
1999-07-02,437
1999-07-03,212
1999-07-04,308
1999-07-05,293
1999-07-06,333
1999-07-07,302
1999-07-08,16
1999-07-09,506
1999-07-10,41
1999-07-11,90
1999-07-12,298
1999-07-13,256
1999-07-14,287
1999-07-15,56
1999-07-16,83
1999-07-17,246
1999-07-18,291
1999-07-19,518
1999-07-20,88
1999-07-21,585
1999-07-22,554
1999-07-23,901
1999-07-24,138
1999-07-25,298
1999-07-26,836
1999-07-27,567
1999-07-28,261
1999-07-29,229
1999-07-30,620
1999-07-31,99
1999-08-01,69
1999-08-02,637
1999-08-03,255
1999-08-04,862
1999-08-05,226
1999-08-06,88
1999-08-07,123
1999-08-08,11
1999-08-09,205
1999-08-10,356
1999-08-11,361
1999-08-12,302
1999-08-13,174
1999-08-14,145
1999-08-15,287
1999-08-16,328
1999-08-17,254
1999-08-18,344
1999-08-19,537
1999-08-20,81
1999-08-21,643
1999-08-22,281
1999-08-23,816
1999-08-24,956
1999-08-25,1120
1999-08-26,140
1999-08-27,471
1999-08-28,338
1999-08-29,411
1999-08-30,328
1999-08-31,13
1999-09-01,132
1999-09-02,142
1999-09-03,167
1999-09-04,304
1999-09-05,619
1999-09-06,149
1999-09-07,212
1999-09-08,163
1999-09-09,100
1999-09-10,80
1999-09-11,190
1999-09-12,413
1999-09-13,168
1999-09-14,1215
1999-09-15,429
1999-09-16,109
1999-09-17,382
1999-09-18,172
1999-09-19,193
1999-09-20,1084
1999-09-21,334
1999-09-22,664
1999-09-23,263
1999-09-24,161
1999-09-25,157
1999-09-26,148
1999-09-27,4672
1999-09-28,7987
1999-09-29,4844
1999-09-30,5654
1999-10-01,28323
1999-10-02,31414
1999-10-03,25971
1999-10-04,27006
1999-10-05,22378
1999-10-06,11263
1999-10-07,4668
1999-10-08,6474
1999-10-09,8630
1999-10-10,7703
1999-10-11,8345
1999-10-12,8372
1999-10-13,9706
1999-10-14,10214
1999-10-15,9694
1999-10-16,9849
1999-10-17,11119
1999-10-18,10224
1999-10-19,9433
1999-10-20,9339
1999-10-21,9760
1999-10-22,9585
1999-10-23,10522
1999-10-24,8639
1999-10-25,9866
1999-10-26,6880
1999-10-27,1291
1999-10-29,6344
1999-10-30,10288
1999-10-31,7883
1999-11-01,11150
1999-11-02,13363
1999-11-03,10333
1999-11-04,7762
1999-11-05,8261
1999-11-06,6037
1999-11-07,6985
1999-11-08,8244
1999-11-09,10179
1999-11-10,8442
1999-11-11,10269
1999-11-12,10385
1999-11-13,8936
1999-11-14,5627
1999-11-15,9060
1999-11-16,10078
1999-11-17,11529
1999-11-18,7954
1999-11-19,7831
1999-11-20,5872
1999-11-21,7797
1999-11-22,5866
1999-11-23,4690
1999-11-24,7167
1999-11-25,4316
1999-11-26,6112
1999-11-27,5873
1999-11-28,4523
1999-11-29,4665
1999-11-30,7066
1999-12-01,7485
1999-12-02,6610
1999-12-03,3864
1999-12-04,4914
1999-12-05,3371
1999-12-06,3107
1999-12-07,2957
1999-12-08,939
1999-12-10,133
1999-12-11,63064
1999-12-12,47095
1999-12-13,49834
1999-12-14,38268
1999-12-15,26987
1999-12-16,20337
1999-12-17,16428
1999-12-18,19131
1999-12-19,15378
1999-12-20,7697
1999-12-21,9211
1999-12-22,19746
1999-12-23,14400
1999-12-24,11947
1999-12-25,5863
1999-12-26,5440
1999-12-27,7577
1999-12-28,9961
1999-12-29,7447
1999-12-30,7299
1999-12-31,8191
2000-01-01,2945
2000-01-02,7621
2000-01-03,9134
2000-01-04,4098
2000-01-05,5065
2000-01-06,6193
2000-01-07,7756
2000-01-08,4470
2000-01-09,6924
2000-01-10,6476
2000-01-11,5021
2000-01-12,6447
2000-01-13,6313
2000-01-14,3155
2000-01-15,5661
2000-01-16,5075
2000-01-17,6632
2000-01-18,6411
2000-01-19,3939
2000-01-20,3506
2000-01-21,5312
2000-01-22,5280
2000-01-23,3820
2000-01-24,2999
2000-01-25,1761
2000-01-26,4003
2000-01-27,5514
2000-01-28,4231
2000-01-29,7008
2000-01-30,6073
2000-01-31,9612
2000-02-01,5303
2000-02-02,5084
2000-02-03,9239
2000-02-04,4575
2000-02-05,7828
2000-02-06,6057
2000-02-07,5742
2000-02-08,4363
2000-02-09,3494
2000-02-10,4675
2000-02-11,5150
2000-02-12,2940
2000-02-13,4733
2000-02-14,3594
2000-02-15,2643
2000-02-16,2674
2000-02-17,3307
2000-02-18,2780
2000-02-19,3392
2000-02-20,5393
2000-02-21,5503
2000-02-22,2540
2000-02-23,2126
2000-02-24,3259
2000-02-25,2478
2000-02-26,3385
2000-02-27,3264
2000-02-28,2528
2000-02-29,4506
2000-03-01,2849
2000-03-02,1958
2000-03-03,2892
2000-03-04,3011
2000-03-05,946
2000-03-06,3708
2000-03-07,2955
2000-03-08,5549
2000-03-09,4080
2000-03-10,3679
2000-03-11,5341
2000-03-12,5387
2000-03-13,4747
2000-03-14,7869
2000-03-15,5361
2000-03-16,6916
2000-03-17,5828
2000-03-18,5351
2000-03-19,7594
2000-03-20,7227
2000-03-21,7889
2000-03-22,6359
2000-03-23,7037
2000-03-24,6445
2000-03-25,3676
2000-03-26,3099
2000-03-27,5000
2000-03-28,3756
2000-03-29,4189
2000-03-30,3091
2000-03-31,4392
2000-04-01,3155
2000-04-02,4273
2000-04-03,4457
2000-04-04,2235
2000-04-05,3222
2000-04-06,4987
2000-04-07,16475
2000-04-08,6156
2000-04-09,4991
2000-04-10,6285
2000-04-11,6460
2000-04-12,2546
2000-04-13,4804
2000-04-14,3913
2000-04-15,3228
2000-04-16,4203
2000-04-17,4202
2000-04-18,3727
2000-04-19,4286
2000-04-20,3064
