hour,events
1996-04-02T12,129
1996-04-02T13,154
1996-04-02T14,227
1996-04-02T15,166
1996-04-02T16,100
1996-04-02T17,25
1996-04-02T18,126
1996-04-02T19,32
1996-04-02T20,52
1996-04-02T22,112
1996-04-02T23,93
1996-04-03T02,42
1996-04-03T03,68
1996-04-03T04,79
1996-04-03T05,107
1996-04-03T06,13
1996-04-03T07,112
1996-04-03T08,128
1996-04-03T09,67
1996-04-03T10,120
1996-04-03T11,62
1996-04-03T12,116
1996-04-03T13,15
1996-04-03T14,97
1996-04-03T15,62
1996-04-03T16,80
1996-04-03T17,137
1996-04-03T18,1
1996-04-03T19,29
1996-04-03T20,105
1996-04-03T21,31
1996-04-03T22,4
1996-04-03T23,1
1996-04-04T01,18
1996-04-04T02,32
1996-04-04T03,21
1996-04-04T05,52
1996-04-04T06,77
1996-04-04T07,48
1996-04-04T08,23
1996-04-04T09,61
1996-04-04T10,32
1996-04-04T11,49
1996-04-04T12,128
1996-04-04T13,183
1996-04-04T14,118
1996-04-04T15,225
1996-04-04T16,122
1996-04-04T17,98
1996-04-04T18,2
1996-04-04T20,23
1996-04-04T21,143
1996-04-04T22,14
1996-04-05T00,53
1996-04-05T04,28
1996-04-05T06,10
1996-04-05T07,73
1996-04-05T08,34
1996-04-05T09,279
1996-04-05T10,83
1996-04-05T11,55
1996-04-05T12,83
1996-04-05T13,125
1996-04-05T14,138
1996-04-05T15,75
1996-04-05T16,157
1996-04-05T17,133
1996-04-05T18,6
1996-04-05T19,51
1996-04-05T20,74
1996-04-05T21,197
1996-04-05T22,35
1996-04-06T01,3
1996-04-06T03,46
1996-04-06T06,33
1996-04-06T07,104
1996-04-06T08,101
1996-04-06T09,49
1996-04-06T10,31
1996-04-06T11,21
1996-04-06T12,97
1996-04-06T13,38
1996-04-06T14,67
1996-04-06T15,54
1996-04-06T16,35
1996-04-06T17,113
1996-04-06T18,57
1996-04-06T19,75
1996-04-06T20,83
1996-04-06T21,20
1996-04-06T22,40
1996-04-06T23,78
1996-04-07T00,105
1996-04-07T05,36
1996-04-07T06,83
1996-04-07T07,112
1996-04-07T09,4
1996-04-07T10,190
1996-04-07T11,91
1996-04-07T12,118
1996-04-07T13,45
1996-04-07T14,42
1996-04-07T15,122
1996-04-07T16,3
1996-04-07T17,58
1996-04-07T20,54
1996-04-07T21,26
1996-04-07T22,37
1996-04-07T23,34
1996-04-08T05,65
1996-04-08T06,33
1996-04-08T09,140
1996-04-08T10,236
1996-04-08T11,31
1996-04-08T12,107
1996-04-08T13,71
1996-04-08T14,197
1996-04-08T15,56
1996-04-08T16,54
1996-04-08T17,104
1996-04-08T18,116
1996-04-08T19,50
1996-04-08T20,26
1996-04-08T21,67
1996-04-08T23,26
1996-04-09T00,21
1996-04-09T01,89
1996-04-09T06,43
1996-04-09T07,25
1996-04-09T08,125
1996-04-09T09,245
1996-04-09T10,241
1996-04-09T11,176
1996-04-09T12,87
1996-04-09T13,44
1996-04-09T14,63
1996-04-09T15,143
1996-04-09T16,66
1996-04-09T17,217
1996-04-09T18,105
1996-04-09T19,90
1996-04-09T20,61
1996-04-09T21,79
1996-04-09T22,77
1996-04-09T23,6
1996-04-10T00,4
1996-04-10T01,38
1996-04-10T03,51
1996-04-10T06,26
1996-04-10T07,63
1996-04-10T08,152
1996-04-10T09,120
1996-04-10T10,129
1996-04-10T11,121
1996-04-10T12,127
1996-04-10T13,241
1996-04-10T14,174
1996-04-10T15,46
1996-04-10T16,253
1996-04-10T17,5
1996-04-10T18,52
1996-04-10T19,203
1996-04-10T20,71
1996-04-10T21,46
1996-04-10T22,19
1996-04-10T23,54
1996-04-11T00,63
1996-04-11T01,42
1996-04-11T03,9
1996-04-11T05,52
1996-04-11T07,25
1996-04-11T08,151
1996-04-11T09,32
1996-04-11T10,139
1996-04-11T11,76
1996-04-11T12,98
1996-04-11T13,151
1996-04-11T14,241
1996-04-11T15,115
1996-04-11T16,149
1996-04-11T17,113
1996-04-11T18,152
1996-04-11T19,7
1996-04-11T20,221
1996-04-11T21,96
1996-04-11T22,14
1996-04-11T23,22
1996-04-12T01,61
1996-04-12T06,57
1996-04-12T08,8
1996-04-12T09,78
1996-04-12T10,106
1996-04-12T11,106
1996-04-12T12,94
1996-04-12T13,50
1996-04-12T14,186
1996-04-12T15,247
1996-04-12T16,225
1996-04-12T17,165
1996-04-12T18,319
1996-04-12T19,79
1996-04-12T21,93
1996-04-12T22,40
1996-04-12T23,67
1996-04-13T01,19
1996-04-13T07,23
1996-04-13T08,12
1996-04-13T09,88
1996-04-13T10,35
1996-04-13T11,159
1996-04-13T12,202
1996-04-13T13,103
1996-04-13T14,78
1996-04-13T15,119
1996-04-13T16,25
1996-04-13T17,157
1996-04-13T18,147
1996-04-13T19,5
1996-04-13T20,75
1996-04-13T21,156
1996-04-13T22,28
1996-04-13T23,54
1996-04-14T00,24
1996-04-14T01,20
1996-04-14T08,171
1996-04-14T09,148
1996-04-14T10,51
1996-04-14T11,20
1996-04-14T12,41
1996-04-14T13,1
1996-04-14T14,216
1996-04-14T15,125
1996-04-14T16,68
1996-04-14T17,102
1996-04-14T18,175
1996-04-14T19,155
1996-04-14T20,61
1996-04-14T21,10
1996-04-14T22,88
1996-04-14T23,15
1996-04-15T00,61
1996-04-15T05,56
1996-04-15T07,97
1996-04-15T08,58
1996-04-15T09,177
1996-04-15T10,120
1996-04-15T11,127
1996-04-15T12,39
1996-04-15T13,125
1996-04-15T14,51
1996-04-15T15,30
1996-04-15T16,62
1996-04-15T17,175
1996-04-15T18,81
1996-04-15T19,103
1996-04-15T20,86
1996-04-15T21,98
1996-04-15T22,91
1996-04-15T23,62
1996-04-16T00,125
1996-04-16T03,53
1996-04-16T04,91
1996-04-16T05,7
1996-04-16T06,63
1996-04-16T07,19
1996-04-16T08,66
1996-04-16T09,37
1996-04-16T10,112
1996-04-16T11,81
1996-04-16T12,16
1996-04-16T13,312
1996-04-16T14,123
1996-04-16T15,80
1996-04-16T16,240
1996-04-16T17,77
1996-04-16T18,140
1996-04-16T19,26
1996-04-16T20,120
1996-04-16T21,194
1996-04-16T22,43
1996-04-17T00,32
1996-04-17T03,38
1996-04-17T04,89
1996-04-17T05,50
1996-04-17T06,21
1996-04-17T07,87
1996-04-17T08,49
1996-04-17T09,89
1996-04-17T10,148
1996-04-17T11,113
1996-04-17T12,119
1996-04-17T13,95
1996-04-17T14,204
1996-04-17T15,83
1996-04-17T16,290
1996-04-17T17,146
1996-04-17T18,63
1996-04-17T19,110
1996-04-17T20,85
1996-04-17T21,65
1996-04-17T22,43
1996-04-17T23,73
1996-04-18T00,105
1996-04-18T05,46
1996-04-18T07,6
1996-04-18T08,57
1996-04-18T09,118
1996-04-18T10,137
1996-04-18T11,176
1996-04-18T12,213
1996-04-18T13,27
1996-04-18T14,110
1996-04-18T15,148
1996-04-18T16,164
1996-04-18T17,31
1996-04-18T18,205
1996-04-18T19,86
1996-04-18T20,37
1996-04-18T21,28
1996-04-18T23,5
1996-04-19T04,1
1996-04-19T05,17
1996-04-19T06,37
1996-04-19T07,3
1996-04-19T08,114
1996-04-19T09,51
1996-04-19T10,126
1996-04-19T11,67
1996-04-19T12,157
1996-04-19T13,63
1996-04-19T14,88
1996-04-19T15,100
1996-04-19T16,176
1996-04-19T17,41
1996-04-19T18,44
1996-04-19T19,75
1996-04-19T20,3
1996-04-19T21,41
1996-04-19T22,14
1996-04-19T23,72
1996-04-20T04,56
1996-04-20T08,35
1996-04-20T09,189
1996-04-20T10,193
1996-04-20T11,32
1996-04-20T12,252
1996-04-20T13,89
1996-04-20T14,89
1996-04-20T15,92
1996-04-20T16,141
1996-04-20T17,89
1996-04-20T18,158
1996-04-20T19,105
1996-04-20T20,110
1996-04-20T21,39
1996-04-20T23,67
1996-04-21T01,1
1996-04-21T03,24
1996-04-21T04,72
1996-04-21T06,3
1996-04-21T07,29
1996-04-21T08,46
1996-04-21T09,79
1996-04-21T10,22
1996-04-21T11,39
1996-04-21T12,54
1996-04-21T13,193
1996-04-21T14,124
1996-04-21T15,123
1996-04-21T16,116
1996-04-21T17,106
1996-04-21T18,110
1996-04-21T19,4
1996-04-21T20,80
1996-04-21T21,144
1996-04-21T23,109
1996-04-22T00,5
1996-04-22T02,2
1996-04-22T04,29
1996-04-22T05,88
1996-04-22T06,43
1996-04-22T07,2
1996-04-22T08,87
1996-04-22T09,4
1996-04-22T10,140
1996-04-22T11,68
1996-04-22T12,181
1996-04-22T13,65
1996-04-22T14,60
1996-04-22T15,92
1996-04-22T16,224
1996-04-22T17,73
1996-04-22T18,84
1996-04-22T19,117
1996-04-22T20,155
1996-04-22T21,124
1996-04-22T22,22
1996-04-22T23,26
1996-04-23T00,66
1996-04-23T01,4
1996-04-23T02,80
1996-04-23T04,29
1996-04-23T05,40
1996-04-23T06,60
1996-04-23T07,35
1996-04-23T08,39
1996-04-23T09,205
1996-04-23T10,266
1996-04-23T11,153
1996-04-23T12,149
1996-04-23T13,109
1996-04-23T14,90
1996-04-23T15,178
1996-04-23T16,121
1996-04-23T17,265
1996-04-23T18,347
1996-04-23T19,34
1996-04-23T20,78
1996-04-23T21,107
1996-04-23T22,68
1996-04-23T23,5
1996-04-24T00,101
1996-04-24T01,19
1996-04-24T02,34
1996-04-24T03,71
1996-04-24T04,62
1996-04-24T05,84
1996-04-24T06,65
1996-04-24T07,61
1996-04-24T08,134
1996-04-24T09,60
1996-04-24T10,72
1996-04-24T11,98
1996-04-24T12,84
1996-04-24T13,201
1996-04-24T14,100
1996-04-24T15,223
1996-04-24T16,338
1996-04-24T17,53
1996-04-24T18,51
1996-04-24T19,76
1996-04-24T20,33
1996-04-24T21,1
1996-04-24T22,17
1996-04-24T23,53
1996-04-25T00,2
1996-04-25T01,26
1996-04-25T02,18
1996-04-25T03,45
1996-04-25T05,29
1996-04-25T06,1
1996-04-25T07,21
1996-04-25T08,88
1996-04-25T09,12
1996-04-25T10,25
1996-04-25T11,33
1996-04-25T12,78
1996-04-25T13,178
1996-04-25T14,61
1996-04-25T15,177
1996-04-25T16,142
1996-04-25T17,141
1996-04-25T18,54
1996-04-25T19,32
1996-04-25T20,142
1996-04-25T21,141
1996-04-25T22,87
1996-04-26T00,26
1996-04-26T03,36
1996-04-26T04,70
1996-04-26T05,131
1996-04-26T06,83
1996-04-26T07,275
1996-04-26T08,271
1996-04-26T09,160
1996-04-26T10,17
1996-04-26T11,96
1996-04-26T12,107
1996-04-26T13,189
1996-04-26T14,122
1996-04-26T15,102
1996-04-26T16,159
1996-04-26T17,149
1996-04-26T18,136
1996-04-26T19,83
1996-04-26T21,36
1996-04-26T22,91
1996-04-26T23,151
1996-04-27T00,51
1996-04-27T04,32
1996-04-27T06,92
1996-04-27T07,20
1996-04-27T08,1
1996-04-27T09,40
1996-04-27T11,67
1996-04-27T12,24
1996-04-27T13,10
1996-04-27T14,56
1996-04-27T16,66
1996-04-27T17,85
1996-04-27T18,61
1996-04-27T19,132
1996-04-27T20,157
1996-04-27T21,34
1996-04-27T22,89
1996-04-27T23,23
1996-04-28T00,1
1996-04-28T02,1
1996-04-28T03,20
1996-04-28T04,2
1996-04-28T06,2
1996-04-28T07,109
1996-04-28T08,72
1996-04-28T09,43
1996-04-28T11,206
1996-04-28T12,32
1996-04-28T13,45
1996-04-28T14,70
1996-04-28T15,21
1996-04-28T16,138
1996-04-28T17,77
1996-04-28T18,270
1996-04-28T19,99
1996-04-28T20,32
1996-04-28T21,49
1996-04-29T00,82
1996-04-29T01,56
1996-04-29T02,140
1996-04-29T04,36
1996-04-29T05,16
1996-04-29T06,117
1996-04-29T07,19
1996-04-29T08,44
1996-04-29T09,108
1996-04-29T10,102
1996-04-29T11,140
1996-04-29T12,274
1996-04-29T13,38
1996-04-29T14,56
1996-04-29T15,129
1996-04-29T16,98
1996-04-29T17,66
1996-04-29T18,232
1996-04-29T19,198
1996-04-29T20,78
1996-04-29T21,128
1996-04-29T22,26
1996-04-29T23,22
1996-04-30T01,10
1996-04-30T02,123
1996-04-30T03,33
1996-04-30T04,25
1996-04-30T06,30
1996-04-30T07,58
1996-04-30T08,166
1996-04-30T09,37
1996-04-30T10,206
1996-04-30T11,173
1996-04-30T12,198
1996-04-30T13,6
1996-04-30T14,69
1996-04-30T15,174
1996-04-30T16,203
1996-04-30T17,168
1996-04-30T18,195
1996-04-30T19,76
1996-04-30T20,95
1996-04-30T21,17
1996-04-30T22,99
1996-04-30T23,20
1996-05-01T02,105
1996-05-01T04,53
1996-05-01T05,91
1996-05-01T06,41
1996-05-01T07,124
1996-05-01T08,115
1996-05-01T09,127
1996-05-01T10,2
1996-05-01T11,119
1996-05-01T12,144
1996-05-01T13,92
1996-05-01T14,50
1996-05-01T15,43
1996-05-01T16,156
1996-05-01T17,225
1996-05-01T18,234
1996-05-01T19,90
1996-05-01T20,133
1996-05-01T21,113
1996-05-01T22,130
1996-05-02T04,80
1996-05-02T05,12
1996-05-02T06,151
1996-05-02T07,8
1996-05-02T08,67
1996-05-02T09,72
1996-05-02T10,255
1996-05-02T11,99
1996-05-02T12,139
1996-05-02T13,144
1996-05-02T14,212
1996-05-02T15,134
1996-05-02T16,204
1996-05-02T17,213
1996-05-02T18,117
1996-05-02T19,126
1996-05-02T20,37
1996-05-02T21,26
1996-05-02T23,21
1996-05-03T00,100
1996-05-03T02,60
1996-05-03T03,120
1996-05-03T05,1
1996-05-03T06,54
1996-05-03T07,123
1996-05-03T08,44
1996-05-03T09,120
1996-05-03T10,268
1996-05-03T11,178
1996-05-03T12,59
1996-05-03T13,163
1996-05-03T14,106
1996-05-03T15,36
1996-05-03T16,65
1996-05-03T17,54
1996-05-03T18,46
1996-05-03T19,51
1996-05-03T22,60
1996-05-04T00,58
1996-05-04T03,44
1996-05-04T04,45
1996-05-04T05,32
1996-05-04T06,43
1996-05-04T07,22
1996-05-04T08,51
1996-05-04T09,174
1996-05-04T10,141
1996-05-04T11,116
1996-05-04T12,40
1996-05-04T13,85
1996-05-04T14,99
1996-05-04T15,60
1996-05-04T16,33
1996-05-04T17,101
1996-05-04T18,153
1996-05-04T19,71
1996-05-04T20,126
1996-05-04T21,22
1996-05-04T22,17
1996-05-04T23,40
1996-05-05T00,100
1996-05-05T03,27
1996-05-05T04,69
1996-05-05T06,63
1996-05-05T07,21
1996-05-05T08,206
1996-05-05T09,126
1996-05-05T10,101
1996-05-05T12,84
1996-05-05T13,214
1996-05-05T14,56
1996-05-05T15,220
1996-05-05T16,46
1996-05-05T17,128
1996-05-05T18,102
1996-05-05T19,2
1996-05-05T20,15
1996-05-05T21,55
1996-05-05T22,19
1996-05-05T23,34
1996-05-06T00,66
1996-05-06T01,69
1996-05-06T02,3
1996-05-06T04,63
1996-05-06T05,86
1996-05-06T06,56
1996-05-06T07,102
1996-05-06T08,183
1996-05-06T09,45
1996-05-06T10,136
1996-05-06T11,154
1996-05-06T12,60
1996-05-06T13,55
1996-05-06T14,253
1996-05-06T15,117
1996-05-06T16,169
1996-05-06T17,69
1996-05-06T18,1
1996-05-06T19,73
1996-05-06T20,241
1996-05-06T21,4
1996-05-06T22,131
1996-05-06T23,11
1996-05-07T00,92
1996-05-07T01,153
1996-05-07T03,27
1996-05-07T05,3
1996-05-07T06,95
1996-05-07T07,67
1996-05-07T08,246
1996-05-07T09,140
1996-05-07T10,93
1996-05-07T11,86
1996-05-07T12,119
1996-05-07T13,228
1996-05-07T14,75
1996-05-07T15,118
1996-05-07T16,113
1996-05-07T17,116
1996-05-07T18,68
1996-05-07T19,48
1996-05-07T20,37
1996-05-07T21,67
1996-05-07T22,200
1996-05-07T23,56
1996-05-08T01,1
1996-05-08T03,8
1996-05-08T04,26
1996-05-08T06,52
1996-05-08T07,111
1996-05-08T08,102
1996-05-08T09,72
1996-05-08T10,230
1996-05-08T11,180
1996-05-08T12,328
1996-05-08T13,154
1996-05-08T14,255
1996-05-08T15,182
1996-05-08T16,145
1996-05-08T17,61
1996-05-08T18,35
1996-05-08T19,236
1996-05-08T20,185
1996-05-08T21,390
1996-05-08T22,182
1996-05-08T23,106
1996-05-09T00,191
1996-05-09T01,129
1996-05-09T02,321
1996-05-09T03,84
1996-05-09T05,398
1996-05-09T06,108
1996-05-09T07,155
1996-05-09T08,370
1996-05-09T09,293
1996-05-09T10,344
1996-05-09T11,428
1996-05-09T12,507
1996-05-09T13,485
1996-05-09T14,132
1996-05-09T15,403
1996-05-09T16,241
1996-05-09T17,140
1996-05-09T18,263
1996-05-09T19,587
1996-05-09T20,351
1996-05-09T21,226
1996-05-09T22,231
1996-05-09T23,287
1996-05-10T00,182
1996-05-10T01,167
1996-05-10T02,47
1996-05-10T03,178
1996-05-10T04,60
1996-05-10T05,105
1996-05-10T06,80
1996-05-10T07,241
1996-05-10T08,359
1996-05-10T09,394
1996-05-10T10,891
1996-05-10T11,356
1996-05-10T12,413
1996-05-10T13,356
1996-05-10T14,440
1996-05-10T15,414
1996-05-10T16,334
1996-05-10T17,260
1996-05-10T18,233
1996-05-10T19,86
1996-05-10T20,389
1996-05-10T21,367
1996-05-10T22,279
1996-05-10T23,369
1996-05-11T00,66
1996-05-11T01,94
1996-05-11T02,3
1996-05-11T03,77
1996-05-11T04,66
1996-05-11T05,130
1996-05-11T06,124
1996-05-11T07,130
1996-05-11T08,317
1996-05-11T09,166
1996-05-11T10,145
1996-05-11T11,222
1996-05-11T12,395
1996-05-11T13,205
1996-05-11T14,283
1996-05-11T15,373
1996-05-11T16,383
1996-05-11T17,90
1996-05-11T18,194
1996-05-11T19,316
1996-05-11T20,402
1996-05-11T21,180
1996-05-11T22,266
1996-05-11T23,540
1996-05-12T00,173
1996-05-12T01,247
1996-05-12T02,184
1996-05-12T03,154
1996-05-12T04,97
1996-05-12T05,158
1996-05-12T06,85
1996-05-12T07,33
1996-05-12T08,436
1996-05-12T09,398
1996-05-12T10,663
1996-05-12T11,634
1996-05-12T12,557
1996-05-12T13,346
1996-05-12T14,441
1996-05-12T15,372
1996-05-12T16,542
1996-05-12T17,301
1996-05-12T18,364
1996-05-12T19,456
1996-05-12T20,261
1996-05-12T21,202
1996-05-12T22,299
1996-05-12T23,204
1996-05-13T00,172
1996-05-13T01,114
1996-05-13T02,118
1996-05-13T03,92
1996-05-13T04,53
1996-05-13T05,272
1996-05-13T06,440
1996-05-13T07,255
1996-05-13T08,384
1996-05-13T09,426
1996-05-13T10,643
1996-05-13T11,553
1996-05-13T12,624
1996-05-13T13,465
1996-05-13T14,615
1996-05-13T15,578
1996-05-13T16,195
1996-05-13T17,319
1996-05-13T18,696
1996-05-13T19,402
1996-05-13T20,725
1996-05-13T21,394
1996-05-13T22,230
1996-05-13T23,135
1996-05-14T00,327
1996-05-14T01,301
1996-05-14T02,157
1996-05-14T03,165
1996-05-14T04,118
1996-05-14T05,436
1996-05-14T06,381
1996-05-14T07,423
1996-05-14T08,391
1996-05-14T09,186
1996-05-14T10,530
1996-05-14T11,542
1996-05-14T12,386
1996-05-14T13,512
1996-05-14T14,538
1996-05-14T15,681
1996-05-14T16,431
1996-05-14T17,111
1996-05-14T18,274
1996-05-14T19,314
1996-05-14T20,195
1996-05-14T21,169
1996-05-14T22,170
1996-05-14T23,143
1996-05-15T00,18
1996-05-15T01,43
1996-05-15T02,162
1996-05-15T03,67
1996-05-15T04,273
1996-05-15T05,373
1996-05-15T06,130
1996-05-15T07,158
1996-05-15T08,360
1996-05-15T09,315
1996-05-15T10,433
1996-05-15T11,385
1996-05-15T12,265
1996-05-15T13,327
1996-05-15T14,198
1996-05-15T15,293
1996-05-15T16,235
1996-05-15T17,424
1996-05-15T18,230
1996-05-15T19,218
1996-05-15T20,163
1996-05-15T21,144
1996-05-15T22,214
1996-05-15T23,126
1996-05-16T00,174
1996-05-16T01,43
1996-05-16T02,100
1996-05-16T03,265
1996-05-16T04,95
1996-05-16T05,169
1996-05-16T06,400
1996-05-16T07,456
1996-05-16T08,461
1996-05-16T09,428
1996-05-16T10,388
1996-05-16T11,491
1996-05-16T12,487
1996-05-16T13,605
1996-05-16T14,560
1996-05-16T15,286
1996-05-16T16,520
1996-05-16T17,302
1996-05-16T18,200
1996-05-17T03,188
1996-05-17T04,73
1996-05-17T05,355
1996-05-17T06,404
1996-05-17T07,197
1996-05-17T08,344
1996-05-17T09,607
1996-05-17T10,454
1996-05-17T11,709
1996-05-17T12,533
1996-05-17T13,482
1996-05-17T14,468
1996-05-17T15,726
1996-05-17T16,613
1996-05-17T17,507
1996-05-17T18,583
1996-05-17T19,415
1996-05-17T20,224
1996-05-17T21,168
1996-05-17T22,246
1996-05-17T23,439
1996-05-18T00,213
1996-05-18T01,5
1996-05-18T02,92
1996-05-18T03,65
1996-05-18T04,171
1996-05-18T05,148
1996-05-18T06,80
1996-05-18T07,226
1996-05-18T08,403
1996-05-18T09,343
1996-05-18T10,482
1996-05-18T11,443
1996-05-18T12,396
1996-05-18T13,525
1996-05-18T14,315
1996-05-18T15,190
1996-05-18T16,345
1996-05-18T17,319
1996-05-18T18,523
1996-05-18T19,510
1996-05-18T20,339
1996-05-18T21,386
1996-05-18T22,284
1996-05-18T23,429
1996-05-19T00,115
1996-05-19T01,68
1996-05-19T02,228
1996-05-19T03,186
1996-05-19T04,282
1996-05-19T05,208
1996-05-19T06,86
1996-05-19T07,179
1996-05-19T08,471
1996-05-19T09,378
1996-05-19T10,359
1996-05-19T11,390
1996-05-19T12,307
1996-05-19T13,127
1996-05-19T14,217
1996-05-19T15,471
1996-05-19T16,698
1996-05-19T17,699
1996-05-19T18,445
1996-05-19T19,409
1996-05-19T20,383
1996-05-19T21,435
1996-05-19T22,451
1996-05-19T23,167
1996-05-20T00,307
1996-05-20T01,204
1996-05-20T02,270
1996-05-20T03,281
1996-05-20T04,254
1996-05-20T05,298
1996-05-20T06,401
1996-05-20T07,473
1996-05-20T08,367
1996-05-20T09,285
1996-05-20T10,473
1996-05-20T11,116
1996-05-20T12,557
1996-05-20T13,599
1996-05-20T14,177
1996-05-20T15,261
1996-05-20T16,91
1996-05-20T17,297
1996-05-20T18,15
1996-05-20T19,212
1996-05-20T20,315
1996-05-20T21,198
1996-05-20T22,331
1996-05-20T23,309
